ID,How.Improve.Confidence,Why.MagicNumber,Why.EqualSpacing,How.Familiar
14432228.json,measure saturation point,consistent statistical comparison,To most efficiently survey the site,""
15240948.json,N/A,minimum number to have a sense that results can be dubplicated,Didn't have any prior knowledge of where boundaries might be.,"dunes, water table, sand, porosity, permeability, shear strength, cohesion of sand and its effect on shear strength"
22375511.json,does this pattern of data appear on other transects,3 is minimum for statistical average,capture big changes,""
23299149.json,Probably additional sampling between 3rd and 5th original localities,3 is bare minimum to determine recognize if a particular analysis is an outlier,Just seemed logical,""
28074220.json,get some measurements with 2% moisture,because my confidence in a pattern of consistency takes a big jump between 2 and 3,"well, they are roughly evenly spaced but I also tried to take a more dense sampling in the middle of the slope. In retrospect, I should have densified the spacing higher on the slope (lower moisture)",familiar with moisture and shear stress
42776583.json,"I am confident in the overall relationship, but given unlimited experimental resources and time I would sample the roll-over in the curve more between 2 and 6% moisture content to nail down the relationship in this critical area.  Would make modeling more robust later on.","Initially I didn't understand that you could sample more than once per location, so I picked just 1 per each.  The experimenter explained this to me and then I changed my sampling strategy to 2 per location to get a rough handle on variance.  Ideally you'd do 3 or more to really nail down the variance, but that is a second order problem relative to nailing down the overall trend, which was the first-order problem.","I expected steep gradients in moisture especially at the beginning, and suspected there may be some later as well, so I short spaced the sampling at the crest and interdune interface.  Turns out really just the crest to central stoss slope was needed, but it was all valuable.  The ultimate strategy was actually pretty even as I filled in holes to make sure I was seeing a real trend through the variance in individual samples.","I've spent a lot of time in sand dunes and have looked at moisture/shear strength profiles informally, in undergraduate teaching settings.  Early on I was also a big fan of Bagnold's work and actually read Physics of Blown Sand and Desert Dunes (his book) for fun.  Geek, I know..."
45431255.json,n/a,5 is sufficiently high enough to be sure the trend over transect was stable,"if I understand correctly, the interdune area is wetter so I expect most change to happen here. I sampled less densely at crest where its dry",I have been to white sands
58784411.json,"Repeat the experiment on several other dunes, with different grain sizes. ",I took 3.  That is the smallest number that allows me to avoid/detect odd outliers. ,"I was looking for the point of break in slope, and I didn't have any idea a priori what soil moisture that would happen at, nor where on the stoss slope that moisture value would be. ",""
71319116.json,"I wouldn't collect more data than this at a single transect, but I would want to visit additional transects",started with 3 but because of variability bumped up to 6,made more sense to evenly space than unevenly space?,""
77520674.json,Statistical analysis; Analyze a different dune,"Three is the minimum, thus time effective, number of measurements, in my view, to check if the data are reproducible.",It gives to me a first idea of where I need to make sampling denser.,""
82399189.json,measure at additional dunes,efficient number,"no idea where saturation occurred, so I sampled evenly to try and find it",familiar with sediment dynamics literature
82839541.json,Increase number of data points in the higher moisture portion of the dune due to a slight negative slope (decrease in shear strength with increasing moisture) to evaluate if the correlation is due to weak data point density or a real decrease in shear strength at highest moisture contents,"Started with a moderate spacing on the steepest part of the slope, then reduced density due to flattening out of dune slope. Spacing was made to find any major changes in pattern before refining the data collection strategy",Reduced the number of initial data points to reduce oversampling in areas of limited change in pattern,""
83386066.json,more transects,I took 4 and it seemed to capture variation,not sure,""
90086100.json,I'd like to see the same curve for a few different sand types,I increased the number of samples as I went toward the middle of the dune in anticipation of that area being where the strongest gradient was.,"I decreased the space between samples as I went toward the middle of the slope, for the same reason as the increase in the number of samples.",""
